                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67087,                 1.2351,                  3.547,                 1.2534,                0.13875,                0.27748,                0.10438,                0.08334,                0.13875,                0.27748,                0.10438,                0.08919,                0.66575,                0.62209,                 3.3994,                 1.5448,             0.00010733,             0.00010733,             0.00010733
                      2,                0.59105,                0.81927,                 2.7721,                 1.1485,                0.18141,                0.27561,                0.17832,                0.15248,                0.18141,                0.27561,                0.17832,                0.16295,                0.62204,                0.56968,                 3.8989,                 1.4975,             0.00021074,             0.00021074,             0.00021074
                      3,                0.63101,                0.86005,                 2.5337,                 1.1676,                0.10476,                0.25823,                0.17261,                0.14352,                0.10476,                0.25823,                0.17261,                0.15084,                0.63954,                0.88061,                 3.2851,                 1.5809,             0.00030989,             0.00030989,             0.00030989
                      4,                0.64835,                0.83539,                 2.3327,                 1.1781,                0.18048,                0.24519,                0.19748,                0.17359,                0.18048,                0.24519,                0.19748,                0.17417,                0.57713,                0.60797,                 3.8478,                 1.5086,             0.00030381,             0.00030381,             0.00030381
                      5,                0.60921,                0.85513,                 2.2176,                 1.1404,                0.09828,                0.26156,                0.20177,                0.16119,                0.09828,                0.26156,                0.20179,                0.16052,                0.63859,                0.89025,                 3.9628,                 1.5321,             0.00030381,             0.00030381,             0.00030381
                      6,                0.56672,                0.77558,                  2.058,                 1.1202,                0.18211,                0.21932,                0.24768,                0.21089,                0.18211,                0.21932,                0.24768,                0.21592,                0.56503,                0.62537,                 4.1108,                 1.4524,             0.00029742,             0.00029742,             0.00029742
                      7,                0.53676,                0.69076,                 1.9299,                 1.0933,                0.09367,                0.30964,                0.25151,                0.22584,                0.09367,                0.30964,                0.25151,                0.22351,                0.54871,                0.69755,                 3.9741,                 1.4521,             0.00029102,             0.00029102,             0.00029102
                      8,                0.55559,                0.70463,                 1.8284,                 1.1102,                0.14406,                0.28881,                0.18194,                0.16649,                0.14406,                0.28881,                0.18194,                0.16883,                0.51032,                0.49357,                 4.3443,                 1.3495,             0.00028463,             0.00028463,             0.00028463
                      9,                0.54085,                  0.665,                 1.7896,                  1.097,                 0.2458,                0.18876,                0.23896,                0.21552,                 0.2458,                0.18876,                0.23896,                0.21956,                0.45178,                0.48648,                 4.1883,                 1.2432,             0.00027823,             0.00027823,             0.00027823
                     10,                0.52516,                 0.6802,                 1.7001,                 1.0671,                0.32438,                0.20666,                 0.2604,                0.24118,                0.32438,                0.20666,                 0.2604,                0.24606,                0.45215,                0.45632,                 4.1325,                 1.2237,             0.00027184,             0.00027184,             0.00027184
